;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL29;SrcNoAnswer.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// noanswer'})->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;14.0;0.0;86.0;0.0;100.0;86.0;14.0;0.0;0.0;0.86;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543859649122807;0.0;0.0;
AddressSwitch2SelectStat;;;;X;;;;;X;;;X;X;;;;;X;;;;;;;;X;;;;X;X;;;X;;X;;;;;;;;;;X;;;X;X;X;;;;;;;;;;X;;;;;;X;X;;X;;;X;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;4.0;10.0;17.0;69.0;21.0;79.0;86.0;14.0;0.07280219780219781;0.19047619047619047;0.73;0.23809523809523808;0.19047619047619047;0.07404820118756548;0.017857142857142856;9.411078250762886E-6;0.23328473740792172;0.07500141012787787;3.8045977011494254;0.04;0.4329309322592351;0.08098727342846124;0.19527287378495217;0.5748031496062992;0.5925925925925926;0.5910652920962199;
Proxy2Return;;;;X;;;;;;X;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;X;;;;;;;;0.0;14.0;7.0;79.0;7.0;93.0;86.0;14.0;-0.10294117647058823;0.0;0.79;0.0;0.0;-0.10566037735849057;0.0;0.0;0.0;-0.11069355566525295;-0.08045977011494253;0.0;0.0;0.035443037974683546;0.0;0.6528925619834711;0.0;0.0;
Default2SelectDefault;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;X;;;;X;;;;;X;;;;7.0;7.0;4.0;82.0;11.0;89.0;86.0;14.0;0.4981751824817518;0.5;0.89;0.5681818181818181;0.6363636363636364;0.5002290426019239;0.10526315789473684;1.749212854215603E-4;0.5640760748177662;0.5029074315839652;6.954022988505747;0.07;0.7378349275374373;0.050491803278688525;0.5286488637087369;0.8018018018018018;4.454545454545454;0.9148936170212767;
SwitchedAddress2SelectCase;;;;;;;;;;;;X;;;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;;X;;;;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;10.0;6.0;80.0;10.0;90.0;86.0;14.0;0.24528301886792453;0.2857142857142857;0.84;0.34285714285714286;0.4;0.24714828897338403;0.043478260869565216;2.6663111585121983E-5;0.3380617018914066;0.2497691810051685;3.9310344827586206;0.04;0.5777087639996635;0.04716981132075472;0.30737869441991367;0.7241379310344828;1.0;0.8037383177570093;
NotPresent2ErrorResponse;X;;X;;;;;X;X;X;;X;X;X;X;X;;;;;X;;;;;;X;X;;X;;X;;;;;;;X;X;;;;X;X;;;;;;;;X;X;;X;X;;X;;;;;;;;;X;X;;X;;;;;;;;;;X;;;X;X;;;;X;X;;;X;X;X;X;;;;X;4.0;10.0;33.0;53.0;37.0;63.0;86.0;14.0;-0.058070866141732284;0.10810810810810811;0.57;0.1969111969111969;0.10810810810810811;-0.06676096181046676;0.009615384615384616;4.848208647507354E-6;0.17574991006549873;-0.07043647719826218;3.6206896551724137;0.04;0.3014969706951049;0.12987012987012986;0.1265393378602796;0.3986013986013986;0.37209302325581395;0.4267990074441687;
Location2URIConstant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;14.0;0.0;86.0;0.0;100.0;86.0;14.0;0.0;0.0;0.86;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543859649122807;0.0;0.0;
Otherwise2SelectDefault;;;;;;;;;;X;;X;X;;X;X;;X;X;;;;;X;;;;;;X;X;X;;X;;;;;;;;;X;;X;;X;X;X;;;;;X;;;X;;;X;X;;X;;;;X;;;;X;;X;;;;;;;X;;;X;;X;;X;;;;;;X;;;;;X;;;4.0;10.0;27.0;59.0;31.0;69.0;86.0;14.0;-0.018722466960352423;0.12903225806451613;0.63;0.2073732718894009;0.12903225806451613;-0.02034101106790308;0.011627906976744186;5.925566002657617E-6;0.1920061442949277;-0.021186551901395446;3.689655172413793;0.04;0.3435327234202609;0.11020263064344117;0.14705043234022455;0.45985401459854014;0.43243243243243246;0.47645429362880887;
Incoming2Method;;;;;;;;;;;;;X;;;X;X;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;X;X;;X;X;;;;;X;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;1.0;13.0;15.0;71.0;16.0;84.0;86.0;14.0;-0.09717868338557993;0.0625;0.72;0.06696428571428571;0.0625;-0.09733124018838304;0.004784688995215311;5.128128863724591E-7;0.0668153104781061;-0.09747849320033693;0.8275862068965517;0.01;0.2518599917518676;0.07113543091655267;0.05580991121466804;0.5625;0.03571428571428571;0.2905405405405405;
;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;
