In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.1262135922330097;0.125;0.64;0.4791666666666667;0.125;0.17543859649122806;0.04;7.138675918390657E-5;0.3227486121839514;0.22347460335607192;4.631578947368421;0.05;0.38118348148877057;0.018281535648994516;0.25353593117644463;0.47058823529411764;0.6944444444444444;0.6911764705882354
TitledEntry_Title_NoArticle;-0.015625;0.05263157894736842;0.09;0.4429824561403509;0.052631578947368474;-0.1347449470644851;0.015748031496062992;2.7762970859985785E-5;0.20942695414584775;-0.13524203070138519;4.052631578947368;0.05;0.09427624748857784;0.2546916890080429;0.03863311617027693;0.04712041884816754;0.27472527472527475;0.46534653465346537
Article_NoTitle_Journal;0.18893129770992367;0.17647058823529413;0.83;0.3382352941176471;0.17647058823529416;0.20050632911392405;0.044444444444444446;2.1425510641336953E-5;0.2970442628930023;0.2219535682569513;2.8526315789473684;0.03;0.5210179221381522;0.031696706028589185;0.26900447339087724;0.7094017094017094;0.5294117647058824;0.7704918032786885
Article_Title_Journal;0.02056807051909892;0.06976744186046512;0.2;0.5348837209302325;0.06976744186046513;0.09502262443438914;0.025;0.06976744186046512;0.26413527189768715;0.1019357424863305;5.157894736842105;0.06;0.15935614212157198;0.0;0.10192337387348228;0.1111111111111111;0.45;0.5402298850574713
Author;0.001288659793814433;0.06060606060606061;0.07;0.5303030303030303;0.06060606060606055;0.01809954751131222;0.021505376344086023;0.06060606060606061;0.24618298195866545;0.02539183580595128;5.021052631578947;0.06;0.08328765146287244;0.0;0.02538109459617526;0.03626943005181347;0.3870967741935484;0.5026737967914439
Article_NoTitle_NoJournal;-0.08418367346938775;0.0;0.83;0.0;0.0;-0.08554763447828904;0.0;0.0;0.0;-0.08882046400846719;-0.11578947368421053;0.0;0.0;0.03457307490832897;0.0;0.7094017094017094;0.0;0.0
UntitledEntry;0.04227212681638045;0.08064516129032258;0.42;0.456989247311828;0.08064516129032262;0.08767123287671233;0.024752475247524754;4.383542428307164E-5;0.25923792368260634;0.1110408492381104;4.4;0.05;0.24283437883368283;0.0283363802559415;0.16047480611855588;0.26582278481012656;0.43103448275862066;0.5788177339901478
Main;0.0;0.06;0.06;0.53;0.06000000000000005;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;5.010526315789473;0.06;0.06;0.0;0.0;0.030927835051546393;0.3829787234042553;0.5
TitledEntry_NoTitle_NoArticle;-0.006711409395973154;0.056818181818181816;0.16;0.44507575757575757;0.05681818181818177;-0.0345679012345679;0.017064846416382253;3.0104341648152496E-5;0.2175970699446223;-0.036281607458315504;4.126315789473685;0.05;0.1287771005486951;0.09361702127659574;0.07125820978456407;0.08695652173913043;0.2976190476190476;0.4855371900826446
EXAM-BC;1.0;1.0;0.1111111111111111;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.3333333333333333;0.8888888888888888;0.1111111111111111;1.0;1.0
EXAM-WC;1.0;1.0;0.2222222222222222;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.3333333333333333;1.0;0.2222222222222222;1.0;1.0
EXAM-AVG;1.0;1.0;0.16666666666666666;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.3333333333333333;0.9444444444444444;0.16666666666666666;1.0;1.0

OCL23;SrcBibTeXEntry.allInstances()->size() = TrgSect1.allInstances()->select(s | s.title = 'References List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.3317972350230415;0.35;0.71;0.5867647058823529;0.35;0.3778535817370769;0.0498220640569395;2.510882626485712E-4;0.5368754921931592;0.3912581244076012;13.69047619047619;0.14;0.5929761367515518;0.06430868167202572;0.4336208576512763;0.5503875968992248;6.758620689655173;0.724438902743142
TitledEntry_Title_NoArticle;-0.0037641154328732747;0.16842105263157894;0.2;0.5547987616099072;0.16842105263157892;-0.015906680805938492;0.022253129346314324;3.234218026722726E-4;0.3981380814347516;-0.018322340399311226;15.05952380952381;0.16;0.23076923076923078;0.27941176470588236;0.0781657711712814;0.1111111111111111;3.2;0.49719206289779105
Article_NoTitle_Journal;0.007795889440113395;0.17647058823529413;0.72;0.17647058823529413;0.17647058823529416;0.007795889440113395;0.012605042016806723;4.5916188670639605E-6;0.17647058823529413;0.007795889440113395;2.8333333333333335;0.03;0.38308998402953376;0.08095238095238096;0.14669406845723196;0.5625;0.32142857142857145;0.5112936344969199
Article_Title_Journal;0.06453362255965293;0.19767441860465115;0.31;0.5988372093023255;0.19767441860465118;0.1820267686424474;0.028985507246376812;0.19767441860465115;0.44460591382105025;0.18259976182255006;16.178571428571427;0.17;0.31970943766657783;0.0;0.18258575337083674;0.1834319526627219;4.188405797101449;0.5460526315789473
Author;0.004129220306048093;0.1717171717171717;0.18;0.5858585858585859;0.1717171717171717;0.022516556291390728;0.024390243902439025;0.1717171717171717;0.41438770700537403;0.0454849600082695;16.023809523809526;0.17;0.2048338778925438;0.0;0.045472793371869595;0.0989010989010989;3.524390243902439;0.503030303030303
Article_NoTitle_NoJournal;0.752679307502061;0.6470588235294118;0.94;0.8235294117647058;1.0;0.7640167364016737;0.3333333333333333;0.6470588235294118;0.8043996665398437;0.7768119980858467;11.0;0.11;0.8729241359665745;0.062146892655367235;0.7767459098555904;0.8867924528301887;20.166666666666668;1.0
