Mutant;Buggy_rules;OCL
3;11;12,15
4;14;10
5;9;6,12
6;2;3
7;14;10,15
9;4;11
10;4;4,11
12;1;1,11
13;2;11
15;11;12
16;14;10,15
17;11;12,15
19;11;12,15
20;8;5
21;1;2,3
22;4;4
23;15;5,8
24;8;5,14
25;13;6
26;1;1,2,3,11
27;17;7
28;15;8,13,14
29;13;6,9
30;14;10
34;17;7,12
35;18;13
36;8;14,15
37;10,11;15
39;1,11;12,15
40;2,4;11
41;9,14;6,10,12
42;1,11;12,15
44;13,14;6,1
45;2,11;12,15
46;8,17;7,14
47;1,2;1,3,11
48;4,8;11
49;13,14;6,9,10
50;2,14;10,11
