what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1479920161784
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1479920161784
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1479920161784
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1479920161785
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1479920161785
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1479920161786
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1479920161786
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1479920161786
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1479920161787
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1479920161787
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1479920161787
os,sysinfo,,,"win32",1479920161790
arch,sysinfo,,,"x86_64",1479920161790
ws,sysinfo,,,"win32",1479920161790
locale,sysinfo,,,"es_ES",1479920161790
processors,sysinfo,,,"8",1479920161790
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1479920161790
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1479920161790
java.specification.name,sysinfo,,,"Java Platform API Specification",1479920161790
java.specification.vendor,sysinfo,,,"Oracle Corporation",1479920161790
java.specification.version,sysinfo,,,"1.8",1479920161790
java.vendor,sysinfo,,,"Oracle Corporation",1479920161790
java.version,sysinfo,,,"1.8.0_111",1479920161790
java.vm.info,sysinfo,,,"mixed mode",1479920161790
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1479920161790
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1479920161790
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1479920161790
java.vm.specification.version,sysinfo,,,"1.8",1479920161790
java.vm.vendor,sysinfo,,,"Oracle Corporation",1479920161790
java.vm.version,sysinfo,,,"25.111-b14",1479920161790
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1479920162199
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1479920162212
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1479920162243
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1479920162428
started,bundle,org.eclipse.m2m.atl.adt,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt",1479920162691
started,bundle,org.eclipse.m2m.atl.engine,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.engine",1479920162696
started,bundle,org.eclipse.m2m.atl.common,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.common",1479920162697
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1479920163199
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1479920168126
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1479920174424
