what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1492684527779
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1492684527780
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1492684527780
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1492684527781
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1492684527781
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1492684527781
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1492684527782
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1492684527782
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1492684527782
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1492684527783
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1492684527784
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1492684527784
os,sysinfo,,,"win32",1492684527787
arch,sysinfo,,,"x86_64",1492684527787
ws,sysinfo,,,"win32",1492684527787
locale,sysinfo,,,"es_ES",1492684527787
processors,sysinfo,,,"8",1492684527787
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1492684527787
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1492684527787
java.specification.name,sysinfo,,,"Java Platform API Specification",1492684527787
java.specification.vendor,sysinfo,,,"Oracle Corporation",1492684527787
java.specification.version,sysinfo,,,"1.8",1492684527787
java.vendor,sysinfo,,,"Oracle Corporation",1492684527787
java.version,sysinfo,,,"1.8.0_111",1492684527787
java.vm.info,sysinfo,,,"mixed mode",1492684527787
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1492684527787
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1492684527787
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1492684527787
java.vm.specification.version,sysinfo,,,"1.8",1492684527787
